Height,Hash,Coinbase_TX,Num_TX,Difficulty,File,Data_Pos,Miner_Time,Validated_Time
847281,00000000021862efce7b23fe87267fed94dd6722e6a9e21546d4d8d4d37e7dee,dc9d8f21e625aca9554d890341b274c0ea512fcc051bdbcd9a349225ba43e583,8,469922463,168,127636156,1590696917,1590696945.823
847282,000000000152d63d53347bbbc6f21331f93340bb08c925ffbff9e6358b944c72,921b949f13ed01452075fff1ad30fbd60ce3ffb7f7d5ac1519f366f9aee803fa,9,469927536,168,127651958,1590697035,1590697073.437
847283,00000000007fe17fadca8304a16bb668f38da57f4a7857a145643a456f5501ad,b1edc59ed3c1375d4799ba036c4446d1a969c36a37a72ce1b6fa2726ae85000f,2,469923576,168,127696717,1590697072,1590697075.025
847284,00000000018c8d046cd0442f0fc6893dab51bb0c436fa8693705362bd368495e,eed0c83dc9027ac8b7a69783cf7b2b057d0227e419fd869c099c8725d0a78350,4,469921188,168,127698605,1590697120,1590697145.156
847285,00000000013adbb3eea273e7e977a70b2bef2866e58e811ff3fd7694cdb1963b,2241211397dd91d36c7137f1a43a466460465982cb542b5ba979af9215050aae,1,469921715,168,127710481,1590697144,1590697161.600
847286,000000000241ac7d5eb46ed7019f02837caf16719549b0e97c5f0ad550bf097a,724f54be67f2847ccf862551a7d3d139337b10f6dbdbd13494eec1dc377d26fc,2,469923930,168,127712155,1590697191,1590697203.722
847287,000000000077c70434da5b72dff1ebde7fcf37d34c265c791d41d6cdf8e8e004,b263834c838a264d2dfca9a6ea66bfd0df62887b2c19bfdaa1a4b8218bba2519,3,469922632,168,127714073,1590697234,1590697253.587
847288,00000000013a7eaf9ea6adc31e21610ba4bd04d0422715e0b71af0eb1e23c1ed,1c5e6059600c67e85d57f0916ce677e3e697b222bda83543b922e8444c18dab1,5,469924075,168,127719324,1590697313,1590697321.974
847289,000000000135a9a5b3c0ce8c626ddca4ce2122676488826f6478898ab514bb78,473d2ef7d86499982f962cfe38c76973fa722acb61b5b4d9028c2b87e2695050,2,469922069,168,127726791,1590697355,1590697386.899
847290,0000000001d266182a64560a762935c3b0a4998f2aa21b35b165c1c20a43b273,b1d1ad9583203271ab4b38ab255bf02ab1e904e7d900f6090370069e54a08ddd,3,469922550,168,127729688,1590697386,1590697426.648
847291,0000000000ef221a5bbb6ad69e1a006c038477a4c02e4470691318b9362c5999,e69a1fdff87368a814787b35c4d9d8e522cc8cf0fe568fc1a5537759ad66f0cd,4,469922285,168,127731847,1590697501,1590697516.755
847292,0000000000dc7ccfad9c1e7ff6b5940633a54072b8d118d369f98490d3283302,d98d226543b55fc1b54d03ae2114d64194ae46dfc4d11b73d29a5f76101f843f,2,469921889,168,127736531,1590697527,1590697555.661
847293,000000000044f1d6fc6d6633710d97253b235812589e92c5d7aa564f8414f008,2b801787dc04fecc4ad323333420953f6185a351c9c705d46e3c2e586b093647,2,469922709,168,127745653,1590697590,1590697619.382
847294,00000000013d6a6774c913fd7396c5155fdc6ba74387d8bc8af4c1ae29ba96bc,4351e832c8902cf83cdd423097ceaf9e49fff672fefcf0412bf1eab18c6d4969,2,469925227,168,127749703,1590697642,1590697656.468
