Peer_IP,Version,User_Agent,Start_Height,Services,Peer_Time,Validated_Time
5.9.7.62,170009,/MagicBean:2.1.1-1/,847280,5,1590696926,1590696926.115
3.19.66.87,170009,/MagicBean:2.1.1-1/,847280,5,1590696927,1590696927.586
120.78.209.151,170010,/MagicBean:2.1.2/,847280,5,1590696939,1590696939.665
5.79.123.194,170010,/MagicBean:2.1.2-3/,847280,5,1590696940,1590696940.120
3.112.252.179,170009,/MagicBean:2.1.1-1/,847281,5,1590696946,1590696946.838
18.191.160.176,170009,/MagicBean:2.1.1-1/,847281,5,1590696947,1590696947.345
147.135.11.144,170010,/MagicBean:2.1.2-3/,847281,5,1590696953,1590696953.581
62.210.91.14,170010,/zqwMagicBean:2.1.2/,847281,5,1590696965,1590696965.497
95.217.155.210,170010,/MagicBean:2.1.2(bitcore)/,847281,5,1590696976,1590696976.924
199.217.115.27,170010,/MagicBean:2.1.2-3/,847281,5,1590696978,1590696978.395
138.197.158.219,170011,/MagicBean:3.0.0/,847281,5,1590696979,1590696979.159
167.86.124.82,170009,/MagicBean:2.1.1-1/,847281,5,1590696979,1590696979.768
3.23.112.242,170009,/MagicBean:2.1.1-1/,847281,5,1590696980,1590696980.634
95.216.46.146,170011,/MagicBean:3.0.0/,847281,5,1590696981,1590696981.303
51.77.64.51,170010,/MagicBean:2.1.2-1/,847281,5,1590696992,1590696992.926
52.30.69.116,170010,/MagicBean:2.1.2-3/,847281,5,1590697005,1590697005.302
51.79.116.75,170009,/MagicBean:2.1.1-1/,847281,5,1590697011,1590697011.607
37.59.32.10,170010,/MagicBean:2.1.2-3/,847281,5,1590697012,1590697012.178
18.188.77.116,170009,/MagicBean:2.1.1-1/,847281,5,1590697012,1590697012.981
18.224.34.216,170009,/MagicBean:2.1.1-1/,847281,5,1590697014,1590697014.723
47.94.251.211,170009,/MagicBean:2.1.1-1/,847281,5,1590697015,1590697015.753
107.20.83.62,170010,/MagicBean:2.1.2/,847281,5,1590697016,1590697016.173
120.79.42.119,170010,/MagicBean:2.1.2/,847281,5,1590697017,1590697017.352
45.77.207.1,170009,/MagicBean:2.1.1-1/,847281,5,1590697025,1590697025.911
51.68.5.144,170010,/zqwMagicBean:2.1.2/,847281,5,1590696924,1590697027.404
172.105.73.103,170009,/MagicBean:2.1.1-1/,847281,5,1590697043,1590697043.196
141.20.33.71,170011,/MagicBean:3.0.0-rc1/,847281,5,1590697065,1590697065.946
104.236.180.231,170011,/MagicBean:3.0.0/,847281,5,1590697066,1590697066.831
