Peer_IP,Validated_Time
66.70.180.144,1590696926.862
134.122.96.128,1590697015.333
54.36.124.100,1590697028.648
85.15.179.171,1590697036.380
61.160.196.169,1590697234.301
66.70.180.144,1590697532.446
85.15.179.171,1590697694.442
61.160.196.169,1590697961.823
134.122.96.128,1590698007.449
54.36.124.100,1590698133.378
66.70.180.144,1590698239.299
199.247.26.15,1590698241.371
85.15.179.171,1590698298.719
54.36.124.100,1590698820.267
134.122.96.128,1590698965.092
142.4.209.60,1590699376.407
85.15.179.171,1590699679.872
66.70.180.144,1590700019.355
54.36.124.100,1590700142.243
134.122.96.128,1590700386.264
85.25.118.19,1590700467.362
66.70.180.144,1590700916.038
134.122.96.128,1590701047.189
85.15.179.171,1590701733.321
109.233.109.26,1590702060.508
66.70.180.144,1590702193.769
54.36.124.100,1590702570.418
95.179.144.213,1590702634.835
208.68.38.242,1590702937.598
134.122.96.128,1590703239.404
35.221.131.27,1590703262.765
54.36.124.100,1590704102.821
35.221.131.27,1590704197.387
45.76.187.1,1590704397.601
134.122.96.128,1590704406.112
85.15.179.171,1590704753.172
35.221.131.27,1590704934.089
46.4.65.10,1590705118.488
35.221.131.27,1590706528.578
88.99.37.232,1590706571.742
88.99.37.232,1590707180.206
85.15.179.171,1590707559.208
39.107.245.90,1590708597.365
54.36.124.100,1590709785.078
13.127.252.139,1590711234.441
50.228.184.13,1590711408.086
134.122.96.128,1590711832.198
45.15.9.99,1590711856.018
95.179.144.213,1590712914.617
176.74.154.45,1590713794.464
195.177.251.17,1590714306.619
157.245.181.172,1590714519.084
85.15.179.171,1590715135.106
54.201.120.41,1590715403.709
134.122.96.128,1590715586.821
85.15.179.171,1590716635.086
45.76.187.1,1590717373.701
3.10.116.190,1590717782.941
85.15.179.171,1590718234.977
85.15.179.171,1590718922.043
95.179.182.168,1590719058.482
95.179.179.21,1590719406.477
81.90.251.125,1590720526.544
104.238.190.157,1590720622.375
209.124.130.101,1590720978.068
104.248.161.166,1590721288.414
192.71.249.205,1590722818.872
193.70.38.148,1590723319.110
178.73.210.248,1590724103.250
176.74.154.45,1590724476.447
