Peer_IP,Validated_Time
134.122.96.128,1590696933.334
188.165.43.210,1590696933.845
139.59.30.208,1590696944.788
13.244.102.241,1590697016.386
134.122.96.128,1590697555.924
188.165.43.210,1590697695.677
116.202.100.25,1590697704.132
116.202.100.25,1590697818.038
13.244.102.241,1590697907.290
134.122.96.128,1590698247.043
188.165.43.210,1590698405.860
13.244.102.241,1590698530.098
209.250.241.75,1590698587.767
134.122.96.128,1590699050.678
13.244.102.241,1590699179.269
134.122.96.128,1590699683.632
188.165.43.210,1590699698.736
13.244.102.241,1590700337.036
134.122.96.128,1590700645.350
134.122.96.128,1590701506.641
204.228.147.42,1590701811.700
109.233.109.26,1590701925.563
13.244.102.241,1590702038.855
134.122.96.128,1590702376.047
188.165.43.210,1590703094.159
109.233.109.26,1590703109.566
18.217.17.40,1590704151.008
208.68.38.242,1590705387.063
66.70.180.144,1590706557.648
204.228.147.42,1590707586.285
109.233.109.26,1590708685.434
134.122.96.128,1590709464.062
188.165.43.210,1590709577.354
50.228.184.13,1590709904.018
134.122.96.128,1590710311.550
104.248.161.166,1590711018.245
3.10.116.190,1590711156.530
13.244.102.241,1590711226.313
34.222.139.192,1590712065.543
13.244.102.241,1590712321.927
39.107.245.90,1590713240.562
188.165.43.210,1590714055.467
50.228.184.13,1590714512.045
104.248.161.166,1590715552.532
34.222.139.192,1590716536.605
193.70.38.148,1590718205.726
95.179.182.168,1590718436.085
209.124.130.101,1590718464.699
54.149.118.3,1590719078.770
142.4.209.60,1590720184.244
54.149.118.3,1590721342.446
13.244.102.241,1590721662.360
134.122.96.128,1590721727.429
208.68.38.242,1590723278.703
188.165.43.210,1590724000.643
209.124.130.101,1590724333.034
213.133.102.169,1590724849.454
104.195.200.141,1590725730.164
95.179.182.168,1590725954.216
13.127.252.139,1590730483.881
213.183.54.81,1590730520.073
167.172.43.123,1590734884.607
3.10.116.190,1590735162.025
108.51.198.189,1590735399.667
3.92.199.184,1590755794.424
3.17.177.157,1590755794.464
46.4.192.189,1590755794.483
54.38.81.80,1590755794.531
18.220.47.120,1590755794.563
13.231.145.68,1590755794.574
47.254.176.240,1590755794.677
3.22.172.166,1590755794.743
95.217.78.170,1590755794.780
188.72.203.154,1590755794.782
80.84.57.38,1590755794.902
47.94.92.186,1590755794.908
3.112.252.179,1590755794.910
3.19.66.87,1590755794.940
159.69.57.170,1590755795.018
185.165.170.7,1590755795.040
35.173.127.89,1590755795.045
18.182.25.219,1590755795.063
188.166.173.215,1590755795.191
107.191.35.66,1590755795.201
167.99.86.56,1590755795.237
172.105.73.103,1590755795.290
144.91.68.191,1590755795.348
149.28.197.86,1590755795.444
159.65.218.179,1590755795.447
5.9.7.62,1590755795.448
192.99.230.93,1590755795.520
178.62.222.98,1590755795.590
24.5.47.53,1590755795.622
47.100.175.51,1590755795.660
35.198.119.137,1590755795.841
88.99.191.169,1590755795.884
159.89.147.156,1590755795.937
194.135.81.61,1590755796.096
198.187.30.208,1590755796.230
91.213.203.68,1590755796.303
35.246.238.163,1590755796.600
18.188.77.116,1590755796.620
18.191.160.176,1590755796.825
34.87.37.112,1590755797.074
71.88.207.47,1590755797.118
3.15.223.4,1590755797.154
45.77.207.1,1590755797.190
173.212.214.223,1590755797.423
89.234.183.220,1590755797.479
88.208.3.195,1590755797.682
163.172.222.30,1590755798.684
18.222.216.71,1590755799.241
45.227.252.247,1590755800.799
118.24.175.14,1590755801.362
18.224.34.216,1590755803.045
94.156.174.100,1590755803.740
178.63.71.183,1590755805.698
3.23.112.242,1590755807.510
18.222.216.71,1590755828.370
35.173.127.89,1590755843.228
159.69.57.170,1590755851.839
