Peer_IP,Version,User_Agent,Start_Height,Services,Peer_Time,Validated_Time
141.20.33.71,170011,/MagicBean:3.0.0-rc1/,847280,5,1590696883,1590696883.337
139.59.112.157,170011,/MagicBean:3.0.0/,847280,5,1590696895,1590696895.133
45.77.207.1,170009,/MagicBean:2.1.1-1/,847280,5,1590696895,1590696895.432
195.201.110.220,170011,/MagicBean:3.0.0/,847280,5,1590696904,1590696904.414
118.244.204.223,170010,/MagicBean:2.1.2-1/,847280,5,1590696905,1590696905.164
167.86.124.82,170009,/MagicBean:2.1.1-1/,847280,5,1590696905,1590696905.782
194.135.81.61,170009,/MagicBean:2.1.1-1/,847280,5,1590696906,1590696906.853
167.114.34.3,170009,/MagicBean:2.1.1-1/,847280,5,1590696907,1590696907.266
178.63.71.183,170009,/MagicBean:2.1.1-1/,847280,5,1590696907,1590696908.110
104.195.200.141,170010,/MagicBean:2.1.2/,847280,5,1590696919,1590696919.581
3.17.27.246,170009,/MagicBean:2.1.1-1/,847280,5,1590696920,1590696920.068
51.79.57.29,170010,/MagicBean:2.1.2-3/,847280,5,1590696920,1590696920.611
116.203.135.249,170009,/MagicBean:2.1.1-1/,847280,5,1590696921,1590696921.560
34.66.191.95,170009,/MagicBean:2.1.1-1/,847280,5,1590696927,1590696927.392
95.217.155.210,170010,/MagicBean:2.1.2(bitcore)/,847280,5,1590696928,1590696928.074
47.244.240.76,170009,/MagicBean:2.1.1-1/,847280,5,1590696928,1590696928.956
51.89.96.117,170010,/MagicBean:2.1.2-3/,847280,5,1590696929,1590696929.410
88.208.57.212,170010,/MagicBean:2.1.2/,847280,5,1590696929,1590696929.965
51.77.64.59,170010,/MagicBean:2.1.2-1/,847280,5,1590696936,1590696936.626
78.129.149.90,170010,/zqwMagicBean:2.1.2/,847280,5,1590696919,1590696938.368
24.5.47.53,170009,/MagicBean:2.1.1-1/,847280,5,1590696939,1590696939.437
138.201.245.237,170009,/MagicBean:2.1.1-1/,847280,5,1590696940,1590696940.750
176.57.55.43,170010,/MagicBean:2.1.2-3/,847281,5,1590696946,1590696947.562
37.59.32.10,170010,/MagicBean:2.1.2-3/,847281,5,1590696953,1590696953.477
104.236.180.231,170011,/MagicBean:3.0.0/,847281,5,1590696954,1590696954.040
173.255.198.125,170010,/MagicBean:2.1.2-3/,847281,5,1590696960,1590696960.032
46.4.192.189,170009,/MagicBean:2.1.1-1/,847281,5,1590696977,1590696978.108
47.254.130.139,170010,/MagicBean:2.1.2/,847281,5,1590696989,1590696989.383
5.133.65.82,170011,/MagicBean:3.0.0/,847281,5,1590697007,1590697007.725
199.217.115.27,170010,/MagicBean:2.1.2-3/,847281,5,1590697008,1590697008.169
71.88.207.47,170009,/MagicBean:2.1.1-1/,847281,5,1590697009,1590697008.979
88.99.209.94,170009,/MagicBean:2.1.1-1/,847281,5,1590697007,1590697009.048
